A,B,C,D
1,0,B-header,
1,0,I-header,
1,0,I-header,
1,0,I-header,
1,1,H-speech,[hidden]
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
1,1,I-speech,
2,0,B-header,
2,0,I-header,
2,0,I-header,
2,0,I-header,
2,1,B-title,
2,2,B-speech,Presidente
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,2,I-speech,
2,3,B-speech,Presidente
2,3,I-speech,
2,3,I-speech,
2,3,I-speech,
2,3,I-speech,
2,3,I-speech,
2,3,I-speech,
2,3,I-speech,
2,3,I-speech,
2,3,I-speech,
2,4,B-description,
2,5,B-other,
2,5,I-other,
2,5,I-other,
2,999,B-footer,
3,0,B-header,
3,0,I-header,
3,0,I-header,
3,0,I-header,
3,1,H-speech,[hidden]
3,1,I-speech,
3,1,I-speech,
3,1,I-speech,
3,1,I-speech,
3,1,I-speech,
3,1,I-speech,
3,1,I-speech,
3,1,I-speech,
3,2,B-speech,Presidente
3,2,I-speech,
3,2,I-speech,
3,3,B-speech,Gallino sottosegretario di Stato per le finanze
3,4,B-speech,Presidente
3,5,B-speech,Gallino sottosegretario di Stato per le finanze
3,6,B-speech,Presidente
3,6,I-speech,
3,7,B-speech,Gallino sottosegretario di Stato per le finanze
4,0,B-header,
4,0,I-header,
4,0,I-header,
4,0,I-header,
4,1,B-title,
4,2,B-speech,Presidente
4,3,B-title,
4,4,B-speech,"Mussolini, Capo del governo"
4,5,B-speech,Presidente
4,6,B-speech,"Mussolini, Capo del governo"
4,8,B-speech,Presidente
4,9,B-title,
4,10,B-speech,Presidente
4,11,B-speech,Mango
4,12,B-text,
4,13,B-speech,Presidente
4,14,B-title,
4,15,B-speech,Presidente
4,15,I-speech,
4,16,B-speechnotext,"Libertini, segretario"
4,17,B-speech,Presidente
4,18,B-title,
4,19,B-speech,Presidente
4,20,B-speech,Mariotti
4,21,B-text,
4,22,B-speech,Presidente
4,23,B-title,
4,24,B-speech,Presidente
4,24,I-speech,
4,25,B-speechnotext,"Libertini, segretario"
4,25,I-speechnotext,
4,26,B-speech,Presidente
4,27,B-speech,"BERIO, relatore."
4,28,B-speech,Presidente
4,29,B-speech,"BERIO, relatore."
5,0,B-header,
5,0,I-header,
5,0,I-header,
5,0,I-header,
5,1,B-speech,BIANCHI LEONARDO relatore
5,2,B-speech,"FASCE, sottosegretario di Stato per il tesoro"
5,3,B-speech,Presidente
5,4,B-speech,"FASCE, sottosegretario di Stato per il tesoro"
5,5,B-speech,"RAVA, ministro dell'istruzione pubblica."
5,6,B-speech,Presidente
5,7,B-speech,"RAVA, ministro dell'istruzione pubblica."
5,8,B-speech,Presidente
5,9,B-description,
5,10,B-article,
5,10,I-article,
5,11,B-description,
5,12,B-article,
5,12,I-article,
5,13,B-description,
5,14,N-speech,[inferred] Presidente
5,15,B-speech,"RAVA, ministro dell'istruzione pubblica."
5,16,B-speech,Presidente
5,17,B-text,
5,18,N-speech,[inferred] Presidente
5,19,B-speech,"BIANCHI LEONARDO, relatore."
5,20,B-speech,"FASCE, sottosegretario di Stato per il tesoro."
5,21,B-speech,"BIANCHI LEONARDO, relatore."
5,22,B-speech,Presidente
6,0,B-header,
6,0,I-header,
6,0,I-header,
6,0,I-header,
6,1,H-speech,[hidden]
6,1,I-speech,
6,1,I-speech,
6,1,I-speech,
6,2,B-speech,DI SCALEA.
6,3,B-speech,"RAVA, ministero di agricoltura, industria e commercio"
6,3,I-speech,
6,4,B-speech,"FORTIS, presidente del Consiglio, ministro dell'interno"
6,5,B-speech,"RAVA, ministero di agricoltura, industria e commercio"
6,5,I-speech,
6,5,I-speech,
6,5,I-speech,
6,5,I-speech,
6,5,I-speech,
6,6,U-speech,[unknown] Voci a sinistra
6,7,B-speech,"RAVA, ministero di agricoltura, industria e commercio"
6,7,I-speech,
6,7,I-speech,
7,0,B-header,
7,0,I-header,
7,1,H-speech,[hidden]
7,2,B-text,
7,3,B-speech,"Cavour, ministro delle finanze, di marina, e d'agricoltura e commercio."
7,3,I-speech,
7,3,I-speech,
7,3,I-speech,
7,3,I-speech,
7,3,I-speech,
7,3,I-speech,
7,4,B-speech,Mantelli
7,5,B-speech,"Cavour, ministro delle finanze, di marina, e d'agricoltura e commercio."
7,5,I-speech,
7,5,I-speech,
7,5,I-speech,
7,6,B-description,
7,7,N-speech,[Inferred] Cavour
7,7,I-speech,
7,7,I-speech,
7,7,I-speech,
7,7,I-speech,
7,7,I-speech,
8,0,B-header,
8,0,I-header,
8,0,I-header,
8,0,I-header,
8,1,H-speech,[hidden]
8,1,I-speech,
8,1,I-speech,
8,1,I-speech,
8,1,I-speech,
8,1,I-speech,
8,1,I-speech,
8,2,B-speech,"BOSELLI, ministro della pubblica istruzione."
8,3,B-speech,Presidente
8,4,B-speech,"BOSELLI, ministro della pubblica istruzione."
8,4,I-speech,
8,4,I-speech,
8,4,I-speech,
8,4,I-speech,
8,4,I-speech,
8,4,I-speech,
9,0,B-header,
9,0,I-header,
9,0,I-header,
9,0,I-header,
9,1,H-speech,[hidden]
9,1,I-speech,
9,2,B-description,
9,3,H-speech,[hidden]
9,3,I-speech,
9,3,I-speech,
9,3,I-speech,
9,3,I-speech,
9,3,I-speech,
9,3,I-speech,
9,3,I-speech,
9,3,I-speech,
9,3,I-speech,
9,3,B-speech,Prinetti
9,3,I-speech,
9,3,I-speech,
9,4,B-speech,Presidente
9,5,B-speech,"Giolitti, presidente del consiglio"
9,5,I-speech,
9,5,I-speech,
9,5,I-speech,
9,5,I-speech,
9,6,B-speech,Nicotera
9,7,B-speech,Prinetti
9,8,B-speech,"Giolitti, presidente del consiglio"
9,999,B-footer,
10,0,B-header,
10,0,I-header,
10,0,I-header,
10,0,I-header,
10,1,H-speech,[hidden]
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
10,1,I-speech,
11,0,B-header,
11,0,I-header,
11,0,I-header,
11,1,H-speech,[hidden]
11,1,I-speech,
11,1,I-speech,
11,1,I-speech,
11,1,I-speech,
11,1,I-speech,
11,1,I-speech,
11,1,I-speech,
11,1,I-speech,
11,1,I-speech,
12,0,B-header,
12,0,I-header,
12,0,I-header,
12,0,I-header,
12,1,H-speech,[hidden]
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,1,I-speech,
12,2,B-speech,Diligenti
13,0,B-header,
13,0,I-header,
13,0,I-header,
13,0,I-header,
13,1,H-speech,[hidden]
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
13,1,I-speech,
14,0,B-header,
14,0,I-header,
14,0,I-header,
14,0,I-header,
14,1,H-speech,[hidden]
14,1,I-speech,
14,2,B-title,
14,3,H-speech,[hidden]
14,3,I-speech,
14,3,I-speech,
14,3,I-speech,
14,3,I-speech,
14,3,I-speech,
14,3,I-speech,
14,3,I-speech,
15,0,B-header,
15,0,I-header,
15,0,I-header,
15,0,I-header,
15,1,H-speech,[hidden]
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,1,I-speech,
15,999,B-footer,
16,0,B-header,
16,0,I-header,
16,0,I-header,
16,0,I-header,
16,1,H-speech,[hidden]
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
16,1,I-speech,
17,0,B-header,
17,0,I-header,
17,0,I-header,
17,0,I-header,
17,1,B-article,
17,1,I-article,
17,1,I-article,
17,2,B-article,
17,2,I-article,
17,3,B-title,
17,4,B-other,
17,5,B-title,
17,6,B-other,
18,0,B-header,
18,0,I-header,
18,0,I-header,
18,0,I-header,
18,1,B-text,Relatore Valvassori Peroni
18,2,B-text,Relatore Valvassori Peroni
18,3,B-text,Relatore Dallolio Alfredo
18,4,B-text,Relatore Marchiafava
18,5,B-text,Relatore Valenzani
18,6,B-title,
