source_pdf,source_page_1based,ramo,legislatura
/media/16TB/parlamento/pdf-resoconti/380009.pdf,31,senato,regno_15
/media/16TB/parlamento/pdf-resoconti/52511b2f74ac156b1cac1a7991f3857d.pdf,4,camera,regno_04
/media/16TB/parlamento/pdf-resoconti/115794bea8a1df77ae3c9983c6f8515d.pdf,31,camera,regno_18
/media/16TB/parlamento/pdf-resoconti/376586.pdf,16,senato,regno_13
/media/16TB/parlamento/pdf-resoconti/425340.pdf,11,senato,regno_26
/media/16TB/parlamento/pdf-resoconti/00818505ea0159adefef6410f2abaf53.pdf,22,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/423848.pdf,20,senato,regno_23
/media/16TB/parlamento/pdf-resoconti/12b35d919f6dd0b510b9faabab7fee4c.pdf,19,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/1d54af282fc8c7373a7e7af6092d55ba.pdf,2,camera,regno_14
/media/16TB/parlamento/pdf-resoconti/88f0783fc58e419cf3f850fd4c472645.pdf,21,camera,costituente
/media/16TB/parlamento/pdf-resoconti/6f66c37a7124529a8863c632e56fce86.pdf,8,camera,regno_10
/media/16TB/parlamento/pdf-resoconti/53945456b67ab9e1cfc461ae0fb6c145.pdf,48,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/377998.pdf,21,senato,regno_14
/media/16TB/parlamento/pdf-resoconti/3f4949332ece05b3065180ed7a3b88f9.pdf,13,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/424010.pdf,3,senato,regno_23
/media/16TB/parlamento/pdf-resoconti/9461b8249acd971f178d8e3adbc3143a.pdf,15,camera,regno_29
/media/16TB/parlamento/pdf-resoconti/8268d60b7f73e35f761b0204c073709c.pdf,23,camera,regno_05
/media/16TB/parlamento/pdf-resoconti/422764.pdf,21,senato,regno_20
/media/16TB/parlamento/pdf-resoconti/420802.pdf,17,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/9a509cdf2897dbf293b7599cf275656f.pdf,27,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/420291.pdf,19,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/86431cd7e2c0b16684ad780edaff29fc.pdf,3,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/421628.pdf,36,senato,regno_15
/media/16TB/parlamento/pdf-resoconti/32981739fec6d41ef2a1c91cfe77716e.pdf,8,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/be4ff99094f61aa7085b995490782561.pdf,4,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/f2e335d44d8a76b99e8d8fcba0d03e76.pdf,9,camera,costituente
/media/16TB/parlamento/pdf-resoconti/6f7f08216a1bc39ed0b76a00e140c3c2.pdf,20,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/f3f7cdd0be6ea846f3d7374bd7baac4d.pdf,15,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/356928.pdf,15,senato,regno_24
/media/16TB/parlamento/pdf-resoconti/bc5699c07a5d08267e5de5c2a50272c0.pdf,23,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/424091.pdf,12,senato,regno_23
/media/16TB/parlamento/pdf-resoconti/356296.pdf,6,senato,regno_08
/media/16TB/parlamento/pdf-resoconti/5b7038db3ae6e123a0a959dd65c5b771.pdf,32,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/5830c57dae25ef0061272f85288de9a5.pdf,3,camera,regno_05
/media/16TB/parlamento/pdf-resoconti/5bdcbaeb145ffae7e2309e5cffd3e56f.pdf,2,camera,regno_14
/media/16TB/parlamento/pdf-resoconti/380213.pdf,15,senato,regno_13
/media/16TB/parlamento/pdf-resoconti/f4aeec1391b07505fec8059c2e6d5471.pdf,9,camera,regno_04
/media/16TB/parlamento/pdf-resoconti/67acbb1de2d586ad832ab07ee4eee94a.pdf,11,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/355640.pdf,4,senato,regno_04
/media/16TB/parlamento/pdf-resoconti/419886.pdf,21,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/7677f18cc20d0350ea6f847d1c9cfe77.pdf,14,camera,regno_15
/media/16TB/parlamento/pdf-resoconti/c396e008e72338364debf123cff44e8c.pdf,19,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/1ae871f537ba8529ecdbdea0538a3d6a.pdf,16,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/920a42332d69ce37bdcc0a8391b7d461.pdf,10,camera,regno_25
/media/16TB/parlamento/pdf-resoconti/421812.pdf,29,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/422488.pdf,14,senato,regno_14
/media/16TB/parlamento/pdf-resoconti/355006.pdf,3,senato,regno_02
/media/16TB/parlamento/pdf-resoconti/3c9b927761a990abd2b77a44d7fbb54f.pdf,76,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/e90d0a98f4c8d2366f728e0f1138c634.pdf,28,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/9ffb09e9d4d40e6e9b4a722d83665b90.pdf,7,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/5b7f6ee65d65c07b88c4a2ced417fbdb.pdf,1,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/94673afa3dfcfdfdbcb9be9ac239871c.pdf,31,camera,regno_15
/media/16TB/parlamento/pdf-resoconti/376591.pdf,23,senato,regno_13
/media/16TB/parlamento/pdf-resoconti/7fb9aa37eaa1ed110008bd4d00fc96e9.pdf,11,camera,costituente
/media/16TB/parlamento/pdf-resoconti/423699.pdf,48,senato,regno_27
/media/16TB/parlamento/pdf-resoconti/86b58dbc6d7eb28c01ce3ba699ea8525.pdf,13,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/98c373b591546dc0dbdee5d4f880f60a.pdf,16,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/0ee92e032ec734f52aeb77a537f9ba42.pdf,1,camera,costituente
/media/16TB/parlamento/pdf-resoconti/b815d2864c5eeb0f1c0b90ef718ea66e.pdf,8,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/5e1817d357530143549497d5ba58c6af.pdf,16,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/1fcfddbfb18713ab6e197e418e13cc20.pdf,3,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/abaded8a2c6696f066c0590e30c51de5.pdf,4,camera,costituente
/media/16TB/parlamento/pdf-resoconti/422627.pdf,26,senato,regno_17
/media/16TB/parlamento/pdf-resoconti/19eba64e5a062bf9715ad7b3a406eb5e.pdf,29,camera,regno_18
/media/16TB/parlamento/pdf-resoconti/c4f211b508e1fe1fb5e854ab4a88c628.pdf,22,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/eb75d060ca84a389939ec76d60c6f102.pdf,3,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/e085d29f821fa65a031ebd2402ff3c2b.pdf,16,camera,regno_27
/media/16TB/parlamento/pdf-resoconti/355335.pdf,14,senato,regno_05
/media/16TB/parlamento/pdf-resoconti/65bffcea32c107737157b5fb4acab630.pdf,46,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/c49ee9f89c4f4201f6f5e966676a7b3f.pdf,17,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/fc885343a4c2c7882374d4a4da7e0754.pdf,35,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/cfbc5865110529186d50fc2aea15c020.pdf,27,camera,regno_12
/media/16TB/parlamento/pdf-resoconti/fcc37f4fbb34a5e9abbcab9ce31c9037.pdf,20,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/61f9cfd1d40897e5e82443664103d678.pdf,35,camera,regno_29
/media/16TB/parlamento/pdf-resoconti/bbed7c05dbb7ee88cd478b8f5ff37451.pdf,24,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/bb6928c7424e426dddd054084f370d7c.pdf,40,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/ac6b2474832076f4fff01da20675df2c.pdf,20,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/425025.pdf,5,senato,regno_20
/media/16TB/parlamento/pdf-resoconti/d2622d5be9f566f2b702d1c80318b973.pdf,30,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/fb06a7a31db566929395a647ea9cb732.pdf,5,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/030ca26bf9260753ab681eb946db43c7.pdf,47,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/cf8ef8460b3dd9af3fbd7a8f33bdc517.pdf,21,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/8011aae742add05383732a1c6d402486.pdf,18,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/a2619ad74693e8eb66003eeb087d8dfe.pdf,8,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/f75f87cd139d97d4ae45388c6bfcfd63.pdf,33,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/423668.pdf,9,senato,regno_27
/media/16TB/parlamento/pdf-resoconti/b2bbcfebf2c5819a89b9238b63170781.pdf,20,camera,regno_29
/media/16TB/parlamento/pdf-resoconti/421827.pdf,44,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/354920.pdf,3,senato,regno_01
/media/16TB/parlamento/pdf-resoconti/9cdf618b7e32171b111b13f2eac59231.pdf,10,camera,regno_28
/media/16TB/parlamento/pdf-resoconti/150a4d899232535e1fba3bca740dc494.pdf,36,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/0cfa53ab8f0abd75c4292b95d471d299.pdf,14,camera,regno_27
/media/16TB/parlamento/pdf-resoconti/cb8f2aaa82a03787f469863f0e251051.pdf,17,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/224826daaf41f82a8899ca3266ec0276.pdf,19,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/420587.pdf,22,senato,regno_27
/media/16TB/parlamento/pdf-resoconti/c49667fa811b8c015e70ac1a51938dbd.pdf,31,camera,regno_27
/media/16TB/parlamento/pdf-resoconti/69dcd9933c8ef33f2febe9fa3b9a2ce4.pdf,32,camera,regno_18
/media/16TB/parlamento/pdf-resoconti/424185.pdf,31,senato,regno_18
/media/16TB/parlamento/pdf-resoconti/d5a4c2144f5ba3b8301bd9988246d768.pdf,44,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/6dcde7254f45b895c5600cc10592da24.pdf,15,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/420800.pdf,8,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/357079.pdf,123,senato,regno_24
/media/16TB/parlamento/pdf-resoconti/24e3b415e7316fd16bd5b6c466fde331.pdf,27,camera,regno_12
/media/16TB/parlamento/pdf-resoconti/355185.pdf,9,senato,regno_05
/media/16TB/parlamento/pdf-resoconti/b2052e9858572692e1eab50d21af73f5.pdf,12,camera,regno_05
/media/16TB/parlamento/pdf-resoconti/424968.pdf,6,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/977bcabf9493a0491e5c119d73730def.pdf,32,camera,regno_10
/media/16TB/parlamento/pdf-resoconti/cce8fce2e37b67da94b9ef7af6fa23c9.pdf,1,camera,consulta_nazionale
/media/16TB/parlamento/pdf-resoconti/87043ad89922fe9771bddf2f77a623d5.pdf,1,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/28789439f6b9bc997d77165cb21b578f.pdf,40,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/a014a3d5e0e9a5351d1757971f57884c.pdf,34,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/d2bf8bbf0951e857138914ef60a5dd37.pdf,2,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/424833.pdf,30,senato,regno_12
/media/16TB/parlamento/pdf-resoconti/356611.pdf,7,senato,regno_10
/media/16TB/parlamento/pdf-resoconti/421645.pdf,29,senato,regno_15
/media/16TB/parlamento/pdf-resoconti/98af50dac3052d3ee29bde2e954040b1.pdf,3,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/140df4fc740147acbd282908697d0b48.pdf,15,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/422796.pdf,4,senato,regno_20
/media/16TB/parlamento/pdf-resoconti/0264ac62b31496103f0798e46316048d.pdf,37,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/1ff14c20aa7b3d6ff2e23e537be7f8b6.pdf,1,camera,costituente
/media/16TB/parlamento/pdf-resoconti/356194.pdf,1,senato,regno_08
/media/16TB/parlamento/pdf-resoconti/7864f2a31831ac3172c20b7c056faf13.pdf,40,camera,regno_19
/media/16TB/parlamento/pdf-resoconti/79416e85c51e039c37a9c386e7ffb384.pdf,29,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/420371.pdf,7,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/420045.pdf,19,senato,regno_20
/media/16TB/parlamento/pdf-resoconti/356679.pdf,16,senato,regno_10
/media/16TB/parlamento/pdf-resoconti/356499.pdf,1,senato,regno_09
/media/16TB/parlamento/pdf-resoconti/422569.pdf,10,senato,regno_15
/media/16TB/parlamento/pdf-resoconti/82152d79112e9c2437036ea08c78db8b.pdf,8,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/4f343c4eff714837c4033169f0580f78.pdf,4,camera,costituente
/media/16TB/parlamento/pdf-resoconti/a74fe912da785f0ee675f7c067e330e8.pdf,30,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/6260ac1fed3791ac6fde7db7e09016d5.pdf,32,camera,regno_16
/media/16TB/parlamento/pdf-resoconti/376584.pdf,4,senato,regno_13
/media/16TB/parlamento/pdf-resoconti/7e652f1021db06e42b1169f5a986f0c1.pdf,14,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/6b667f0afef65e61a95bf7c1786757c4.pdf,7,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/fb142a70573b4e06e8276e09cb8dffa0.pdf,4,camera,regno_04
/media/16TB/parlamento/pdf-resoconti/4b1bce6e83c1c410fa03028f02560d0f.pdf,6,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/423583.pdf,18,senato,regno_27
/media/16TB/parlamento/pdf-resoconti/0dfb1b7fee55efaba6cba57a8922c452.pdf,18,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/9e8be27a50fdd4f218a3640d4ebb611a.pdf,59,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/423788.pdf,14,senato,regno_11
/media/16TB/parlamento/pdf-resoconti/423692.pdf,12,senato,regno_27
/media/16TB/parlamento/pdf-resoconti/39ec02abde7e38b9bbb7a7f7445d9711.pdf,21,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/356576.pdf,21,senato,regno_10
/media/16TB/parlamento/pdf-resoconti/424487.pdf,7,senato,regno_26
/media/16TB/parlamento/pdf-resoconti/a1a6fb1bd72486d3de1bd3dde681a023.pdf,2,camera,consulta_nazionale
/media/16TB/parlamento/pdf-resoconti/419872.pdf,2,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/24fe0611890bedf5ad31943d5b055b56.pdf,5,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/96cde467a975fdc3f084eea98a8f4770.pdf,28,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/e378f3617345f229a50d42eabccd6bad.pdf,10,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/4c01a02495a7c31bf4b50bc93ca9b4b4.pdf,31,camera,regno_12
/media/16TB/parlamento/pdf-resoconti/a99cdb1379d9b5e9cebb69fad7b1f9fb.pdf,8,camera,regno_17
/media/16TB/parlamento/pdf-resoconti/cbd94c6e71fa9d6d45ac254e108829b7.pdf,42,camera,regno_24
/media/16TB/parlamento/pdf-resoconti/7ff141ebf7a2e316b10ec075fa5e4ebe.pdf,30,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/bbbab312b91dc0b139210868cc11a1e2.pdf,36,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/8be69f468b156d3381c73ce9b4240545.pdf,89,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/423609.pdf,89,senato,regno_26
/media/16TB/parlamento/pdf-resoconti/f9a047e601aef939b048c9092760be0c.pdf,1,camera,regno_13
/media/16TB/parlamento/pdf-resoconti/a3dda02a515e3b1fc25c538d5be7f52c.pdf,25,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/17547315eb054b07b26879f340dfcc29.pdf,4,camera,costituente
/media/16TB/parlamento/pdf-resoconti/421926.pdf,22,senato,regno_18
/media/16TB/parlamento/pdf-resoconti/355044.pdf,1,senato,regno_04
/media/16TB/parlamento/pdf-resoconti/0aec03a3cd4ac6e6a08de48b6aad6692.pdf,21,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/419922.pdf,82,senato,regno_19
/media/16TB/parlamento/pdf-resoconti/96f92509331fc84449d81efc8cfd1ea4.pdf,30,camera,regno_18
/media/16TB/parlamento/pdf-resoconti/1c65e59dcbc994fe1c3084d60e3a7563.pdf,25,camera,regno_10
/media/16TB/parlamento/pdf-resoconti/c5d495378eee2bab1ecb08e960b97bd2.pdf,24,camera,regno_20
/media/16TB/parlamento/pdf-resoconti/424900.pdf,5,senato,regno_13
/media/16TB/parlamento/pdf-resoconti/406791.pdf,16,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/9ccd92190bc9ef9d15bc6d86e043ffde.pdf,9,camera,regno_14
/media/16TB/parlamento/pdf-resoconti/c403296658ee700a12b5a621e6acdd32.pdf,46,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/8a67820e7b641b88d1ddc3a8bd44e7ef.pdf,7,camera,regno_15
/media/16TB/parlamento/pdf-resoconti/419952.pdf,14,senato,regno_19
/media/16TB/parlamento/pdf-resoconti/05b17a133739d85dc88e2a9128e45680.pdf,6,camera,regno_27
/media/16TB/parlamento/pdf-resoconti/56fd75423f72885ead6462055cfcab78.pdf,27,camera,regno_18
/media/16TB/parlamento/pdf-resoconti/420378.pdf,14,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/68d8ced976cf8be56e6d968a64d4ee1a.pdf,4,camera,costituente
/media/16TB/parlamento/pdf-resoconti/d4c3c3e846564eaae45b3881f034804c.pdf,46,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/1aa849af2ae27d9c3e0f20ae4cfa0443.pdf,16,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/dbfefb484e541d56a99720320329c7f6.pdf,21,camera,regno_10
/media/16TB/parlamento/pdf-resoconti/e234f6b092eb5cd4667cc01227e548b2.pdf,5,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/c350d8375ab18e4969b747a8ab1a740f.pdf,1,camera,regno_02
/media/16TB/parlamento/pdf-resoconti/424980.pdf,21,senato,regno_16
/media/16TB/parlamento/pdf-resoconti/53f78d27a1e7fdece6f1e9c5b8d74ff3.pdf,6,camera,regno_19
/media/16TB/parlamento/pdf-resoconti/c53388e79a0b0ff4b2253098f6b0f08b.pdf,10,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/6f2e9ac644f420570724a721d7ca7607.pdf,26,camera,regno_26
/media/16TB/parlamento/pdf-resoconti/f17fc17c9cc6acddc94d8d6c09f58969.pdf,26,camera,regno_17
/media/16TB/parlamento/pdf-resoconti/423761.pdf,4,senato,regno_30
/media/16TB/parlamento/pdf-resoconti/356079.pdf,9,senato,regno_08
/media/16TB/parlamento/pdf-resoconti/422562.pdf,8,senato,regno_15
/media/16TB/parlamento/pdf-resoconti/fb28d808f777f11c51f35798f07864ba.pdf,31,camera,regno_19
/media/16TB/parlamento/pdf-resoconti/8710d88b849d804e64eef72e49ca1431.pdf,11,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/11fae2e022dfb10f5d49fe9bb9a23b48.pdf,24,camera,regno_08
/media/16TB/parlamento/pdf-resoconti/23f953306a904ac164f95779d79a2dfc.pdf,18,camera,regno_23
/media/16TB/parlamento/pdf-resoconti/9e78818cc336913f3da9389046ba14cf.pdf,3,camera,regno_01
/media/16TB/parlamento/pdf-resoconti/32981739fec6d41ef2a1c91cfe77716e.pdf,41,camera,regno_21
/media/16TB/parlamento/pdf-resoconti/355937.pdf,10,senato,regno_08
/media/16TB/parlamento/pdf-resoconti/423841.pdf,31,senato,regno_27
/media/16TB/parlamento/pdf-resoconti/75bacc5d29fd45c2d727fdafd6f480f5.pdf,11,camera,regno_11
/media/16TB/parlamento/pdf-resoconti/3fc7431f00ccbd27f1b37f64ca366151.pdf,43,camera,regno_25
/media/16TB/parlamento/pdf-resoconti/a8408a92e9711d63de18fcce872b264a.pdf,45,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/420442.pdf,34,senato,regno_22
/media/16TB/parlamento/pdf-resoconti/868dad5130a23442843b60a4b8128726.pdf,17,camera,regno_22
/media/16TB/parlamento/pdf-resoconti/084da6d32c9b90d7b07b85658b654ee4.pdf,10,camera,regno_15
/media/16TB/parlamento/pdf-resoconti/56fcba4039b64c17e523954121665675.pdf,15,camera,regno_17
/media/16TB/parlamento/pdf-resoconti/421707.pdf,6,senato,regno_15
/media/16TB/parlamento/pdf-resoconti/cce3e500f40d6e6e5bda02181a485df6.pdf,35,camera,regno_26
