"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"valoreConsulta"
"http://dati.camera.it/ocd/persona.rdf/p303281"	"MARIO"	"ABBIATE"		"19540605"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr101925"	"GIUSEPPE"	"AGNELLO"	"18880205"	"1976"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11959"	"VITTORIO"	"ALBASINI SCROSATI"	"19030912"	"19910125"	"true"
"http://dati.camera.it/ocd/persona.rdf/p6320"	"GIUSEPPE"	"ALBERGANTI"	"18980724"	"19801103"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr101913"	"DOMENICO"	"ALBERGO"	"18890216"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25290"	"SALVATORE"	"ALDISIO"	"18901229"	"19640727"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11961"	"MARIO"	"ALLARA"	"19020808"		"true"
"http://dati.camera.it/ocd/persona.rdf/p13360"	"LUIGI"	"ALLEGATO"	"18960408"	"19580525"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr101206"	"ENRICO"	"ALTAVILLA"	"18830127"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr4494"	"FRANCESCO"	"AMATUCCI"	"18750205"	"19460601"	"true"
"http://dati.camera.it/ocd/persona.rdf/p300642"	"FILIPPO"	"AMEDEO"	"18910202"	"19460618"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11963"	"GIOVANNI"	"AMERIO"	"19010120"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr11964"	"FRANCO"	"AMOROSO"	"19050920"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr11965"	"MARIO"	"ANDREIS"	"19070504"		"true"
"http://dati.camera.it/ocd/persona.rdf/p200021"	"GIULIO"	"ANDREOTTI"	"19190114"	"20130506"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11967"	"BRUNO"	"ANGELETTI"	"18931011"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr11968"	"ALFREDO"	"ANNUNZIATA"	"18811022"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr101482"	"GIOVANNI"	"ANTONELLI"	"18840107"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr11969"	"CARLO"	"ANTONI"	"18960815"	"19590803"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11970"	"ALBERTO"	"APPONI"	"19060125"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr11971"	"VINCENZO"	"ARANGIO RUIZ"	"18840507"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr101616"	"FILIPPO NALDO"	"ARECCO"	"18930824"		"true"
