"legislatura"	"dataInizio"	"dataFine"
"http://dati.camera.it/ocd/legislatura.rdf/consulta_nazionale"	"19450925"	"19460624"
"http://dati.camera.it/ocd/legislatura.rdf/costituente"	"19460625"	"19480131"
"http://dati.camera.it/ocd/legislatura.rdf/regno_01"	"18480508"	"18481230"
"http://dati.camera.it/ocd/legislatura.rdf/regno_02"	"18490201"	"18490330"
"http://dati.camera.it/ocd/legislatura.rdf/regno_03"	"18490730"	"18491120"
"http://dati.camera.it/ocd/legislatura.rdf/regno_04"	"18491220"	"18531120"
"http://dati.camera.it/ocd/legislatura.rdf/regno_05"	"18531219"	"18571025"
"http://dati.camera.it/ocd/legislatura.rdf/regno_06"	"18571214"	"18600121"
"http://dati.camera.it/ocd/legislatura.rdf/regno_07"	"18600402"	"18601217"
"http://dati.camera.it/ocd/legislatura.rdf/regno_08"	"18610218"	"18650907"
"http://dati.camera.it/ocd/legislatura.rdf/regno_09"	"18651118"	"18670213"
"http://dati.camera.it/ocd/legislatura.rdf/regno_10"	"18670322"	"18701102"
"http://dati.camera.it/ocd/legislatura.rdf/regno_11"	"18701205"	"18740920"
"http://dati.camera.it/ocd/legislatura.rdf/regno_12"	"18741123"	"18761003"
"http://dati.camera.it/ocd/legislatura.rdf/regno_13"	"18761120"	"18800502"
"http://dati.camera.it/ocd/legislatura.rdf/regno_14"	"18800526"	"18821002"
"http://dati.camera.it/ocd/legislatura.rdf/regno_15"	"18821122"	"18860427"
"http://dati.camera.it/ocd/legislatura.rdf/regno_16"	"18860610"	"18901022"
"http://dati.camera.it/ocd/legislatura.rdf/regno_17"	"18901210"	"18920927"
"http://dati.camera.it/ocd/legislatura.rdf/regno_18"	"18921123"	"18950508"
"http://dati.camera.it/ocd/legislatura.rdf/regno_19"	"18950610"	"18970302"
"http://dati.camera.it/ocd/legislatura.rdf/regno_20"	"18970405"	"19000517"
"http://dati.camera.it/ocd/legislatura.rdf/regno_21"	"19000616"	"19041018"
"http://dati.camera.it/ocd/legislatura.rdf/regno_22"	"19041130"	"19090208"
"http://dati.camera.it/ocd/legislatura.rdf/regno_23"	"19090324"	"19130929"
"http://dati.camera.it/ocd/legislatura.rdf/regno_24"	"19131127"	"19190929"
"http://dati.camera.it/ocd/legislatura.rdf/regno_25"	"19191201"	"19210407"
"http://dati.camera.it/ocd/legislatura.rdf/regno_26"	"19210611"	"19240125"
"http://dati.camera.it/ocd/legislatura.rdf/regno_27"	"19240524"	"19290121"
"http://dati.camera.it/ocd/legislatura.rdf/regno_28"	"19290420"	"19340119"
"http://dati.camera.it/ocd/legislatura.rdf/regno_29"	"19340428"	"19390302"
"http://dati.camera.it/ocd/legislatura.rdf/regno_30"	"19390323"	"19430802"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"	"19480508"	"19530624"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"	"19530625"	"19580611"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"	"19580612"	"19630515"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_04"	"19630516"	"19680604"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_05"	"19680605"	"19720524"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_06"	"19720525"	"19760704"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"	"19760705"	"19790619"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"	"19790620"	"19830711"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"	"19830712"	"19870701"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"	"19870702"	"19920422"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"	"19920423"	"19940414"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"	"19940415"	"19960508"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"	"19960509"	"20010529"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"	"20010530"	"20060427"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_15"	"20060428"	"20080428"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_16"	"20080429"	"20130314"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_17"	"20130315"	"20180322"
"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"	"20180323"	"20221012"
