"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"dataInizioMandato"	"dataFineMandato"
"http://dati.camera.it/ocd/persona.rdf/p307740"	"ROSA SILVANA"	"ABATE"			""	""
"http://dati.camera.it/ocd/persona.rdf/pr9013"	"GIUSEPPE CESARE"	"ABBA"	"18381006"	"19101106"	"19100605"	"19101106"
"http://dati.camera.it/ocd/persona.rdf/p301387"	"GIUSEPPE"	"ABBADESSA"			"19760702"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p306620"	"CLAUDIO"	"ABBADO"			"20130830"	"20140120"
"http://dati.camera.it/ocd/persona.rdf/p303281"	"MARIO"	"ABBIATE"		"19540605"	"19191006"	""
"http://dati.camera.it/ocd/persona.rdf/p303281"	"MARIO"	"ABBIATE"		"19540605"	"19480422"	"19530624"
"http://dati.camera.it/ocd/persona.rdf/p10"	"DOLORES"	"ABBIATI"	"19270317"	"20010611"	"19680605"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p17670"	"ANGELO"	"ABENANTE"	"19270510"		"19680605"	"19720524"
"http://dati.camera.it/ocd/persona.rdf/p17670"	"ANGELO"	"ABENANTE"	"19270510"		"19720525"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/p200001"	"LUCIO GUSTAVO"	"ABIS"			"19720514"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/p200001"	"LUCIO GUSTAVO"	"ABIS"			"19760701"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p200001"	"LUCIO GUSTAVO"	"ABIS"			"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/p200001"	"LUCIO GUSTAVO"	"ABIS"			"19870702"	"19920422"
"http://dati.camera.it/ocd/persona.rdf/p200001"	"LUCIO GUSTAVO"	"ABIS"			"19920405"	"19940414"
"http://dati.camera.it/ocd/persona.rdf/pr7"	"ANGELO"	"ABISSO"	"18830117"	"19500307"	"19290121"	"19460408"
"http://dati.camera.it/ocd/persona.rdf/p200002"	"ANNA MARIA"	"ABRAMONTE"			"19940415"	"19960508"
"http://dati.camera.it/ocd/persona.rdf/p50004"	"MARIA CHIARA"	"ACCIARINI"	"19431001"		"20010517"	"20060427"
"http://dati.camera.it/ocd/persona.rdf/p300752"	"ACHILLE"	"ACCILI"			"19720513"	"19760704"
"http://dati.camera.it/ocd/persona.rdf/p300752"	"ACHILLE"	"ACCILI"			"19760626"	"19790619"
"http://dati.camera.it/ocd/persona.rdf/p300752"	"ACHILLE"	"ACCILI"			"19830712"	"19870701"
"http://dati.camera.it/ocd/persona.rdf/pr9"	"ENRICO"	"ACCINNI"	"18380708"	"19040524"	"18981117"	"19040524"
"http://dati.camera.it/ocd/persona.rdf/p307741"	"ROSSELLA"	"ACCOTO"			""	""
