"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"riferimento"	"legislatura"
"http://dati.camera.it/ocd/persona.rdf/p10"	"DOLORES"	"ABBIATI"	"19270317"	"20010611"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_05"
"http://dati.camera.it/ocd/persona.rdf/p10140"	"SALVATORE"	"RUSSO"	"18990428"	"19800714"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p10380"	"EMILIO"	"SERENI"	"19070813"	"19770320"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p10380"	"EMILIO"	"SERENI"	"19070813"	"19770320"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p10380"	"EMILIO"	"SERENI"	"19070813"	"19770320"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"
"http://dati.camera.it/ocd/persona.rdf/p1060"	"MANFREDI"	"BOSCO"	"19300426"	"20100316"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p10740"	"TULLIO"	"VECCHIETTI"	"19140729"	"19990115"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p10740"	"TULLIO"	"VECCHIETTI"	"19140729"	"19990115"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p10740"	"TULLIO"	"VECCHIETTI"	"19140729"	"19990115"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p10950"	"CARLO"	"SANNA"	"19200120"	"20070503"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p11020"	"ELISEO"	"MILANI"	"19270216"	"20041228"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p11350"	"PAOLO"	"CAPPA"	"18880219"	"19560626"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p11390"	"EDOARDO"	"D'ONOFRIO"	"19010210"	"19730815"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p11500"	"PIETRO LUDOVICO"	"VERGANI"	"19071014"	"19700504"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"
"http://dati.camera.it/ocd/persona.rdf/p11500"	"PIETRO LUDOVICO"	"VERGANI"	"19071014"	"19700504"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_04"
"http://dati.camera.it/ocd/persona.rdf/p11770"	"ENRICO"	"MINIO"	"19060504"	"19730221"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p11770"	"ENRICO"	"MINIO"	"19060504"	"19730221"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p11770"	"ENRICO"	"MINIO"	"19060504"	"19730221"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"
"http://dati.camera.it/ocd/persona.rdf/p1220"	"CARLO"	"BUZZI"	"19220731"	"20041115"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p1220"	"CARLO"	"BUZZI"	"19220731"	"20041115"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p12230"	"CELESTE"	"BASTIANETTO"	"18990720"	"19531025"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p12360"	"MARIO"	"BERLINGUER"	"18910311"	"19690706"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p1240"	"PAOLO"	"CABRAS"	"19310116"	"20200702"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p1240"	"PAOLO"	"CABRAS"	"19310116"	"20200702"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p12550"	"GIUSEPPE"	"TERRAGNI"	"19020318"	"19630811"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p12570"	"ENRICO"	"GRAZI"	"18970519"	"19530930"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p12850"	"GIOVANNI"	"CASO"	"18961210"	"19580409"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p13170"	"EMILIO"	"ZANNERINI"	"18910408"	"19690609"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p13250"	"CELESTE CARLO"	"NEGARVILLE"	"19050617"	"19590718"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p13250"	"CELESTE CARLO"	"NEGARVILLE"	"19050617"	"19590718"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p13300"	"VITTORIO"	"GHIDETTI"	"18920828"	"19720118"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p13360"	"LUIGI"	"ALLEGATO"	"18960408"	"19580525"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p13530"	"TEODORO"	"BUBBIO"	"18880102"	"19650330"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p1370"	"ANTONIO"	"CARIGLIA"	"19240328"	"20100220"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p13710"	"LUIGI"	"CASTAGNO"	"18930711"	"19711212"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p13740"	"FELICE"	"PLATONE"	"18960111"	"19621008"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p13770"	"PIETRO"	"MENTASTI"	"18970515"	"19580924"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p1420"	"ANTONIO"	"CARUSO"	"19261122"	"20121017"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_04"
"http://dati.camera.it/ocd/persona.rdf/p14310"	"UGO"	"BARTESAGHI"	"19200530"	"19760316"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_04"
"http://dati.camera.it/ocd/persona.rdf/p14410"	"FRANCESCO "	"ALICI"	"19290809"	"19971121"	"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p10"	"DOLORES"	"ABBIATI"	"19270317"	"20010611"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_06"
"http://dati.camera.it/ocd/persona.rdf/p10"	"DOLORES"	"ABBIATI"	"19270317"	"20010611"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/costituente"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_04"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_05"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_06"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p10000"	"MATTEO"	"RESCIGNO"	"18950828"	"19810611"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/costituente"
"http://dati.camera.it/ocd/persona.rdf/p10000"	"MATTEO"	"RESCIGNO"	"18950828"	"19810611"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p10010"	"MARIO"	"RICCI"	"19080520"	"19890818"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p10010"	"MARIO"	"RICCI"	"19080520"	"19890818"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p10020"	"ACHILLE"	"RIGAMONTI"	"19100217"	"19860706"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p10030"	"GIUSEPPE"	"RIVA"	"18940503"	"19790301"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p10030"	"GIUSEPPE"	"RIVA"	"18940503"	"19790301"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p10040"	"ERCOLE"	"ROCCHETTI"	"19051031"	"19890427"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_01"
"http://dati.camera.it/ocd/persona.rdf/p10040"	"ERCOLE"	"ROCCHETTI"	"19051031"	"19890427"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p10040"	"ERCOLE"	"ROCCHETTI"	"19051031"	"19890427"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"
"http://dati.camera.it/ocd/persona.rdf/p10050"	"CESARIO"	"RODI"	"19081103"	"19930319"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/costituente"
"http://dati.camera.it/ocd/persona.rdf/p10060"	"ARTURO"	"ROGNONI"	"18971122"	"19841015"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/costituente"
"http://dati.camera.it/ocd/persona.rdf/p10070"	"GIUSEPPE"	"ROMANATO"	"19160803"	"19850415"	"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
